;AÑOS;;;;;;
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;3;2;1;2;;1;9
C689 - TUMOR MALIGNO DE ORGANO URINARIO NO ESPECIFICADO;;;;;;;
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;;1;;1;1;3
C692 - TUMOR MALIGNO DE LA RETINA;1;;1;;1;;3
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;2;2;2;;;1;7
C700 - TUMOR MALIGNO DE LAS MENINGES CEREBRALES;;;1;;;;1
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;1;2;1;;;1;5
C711 - TUMOR MALIGNO DEL LOBULO FRONTAL;;1;;1;1;;3
C712 - TUMOR MALIGNO DEL LOBULO TEMPORAL;;;;;1;;1
C713 - TUMOR MALIGNO DEL LOBULO PARIETAL;;;;;;;
C716 - TUMOR MALIGNO DEL CEREBELO;;;1;1;1;;3
C719 - TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA;;;;1;;;1
C720 - TUMOR MALIGNO DE LA MEDULA ESPINAL;;;;;;;
C723 - TUMOR MALIGNO DEL NERVIO OPTICO;;;;;;;
C724 - TUMOR MALIGNO DEL NERVIO ACUSTICO;;;;1;;;1
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;7;;12;1;12;2;34
C751 - TUMOR MALIGNO DE LA HIPOFISIS;;;;;;1;1
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;1;1;;;;;2
C761 - TUMOR MALIGNO DEL TORAX;;;;;1;;1
C762 - TUMOR MALIGNO DEL ABDOMEN;1;1;1;;;;3
C768 - LESION DE SITIOS CONTIGUOS MAL DEFINIDOS;;;1;;;;1
C770 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO;1;;;;;1;2
C779 - TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO;1;;;;;;1
C780 - TUMOR MALIGNO SECUNDARIO DEL PULMON;;;;;;;
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;;;;;
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;1;1;;1;1;;4
C796 - TUMOR MALIGNO SECUNDARIO DEL OVARIO;;;;;;;
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;1;;1;;;;2
17662 - Samaná;43;36;60;45;45;39;268
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;;;;;
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;2;;2;1;;;5
C039 - TUMOR MALIGNO DE LA ENCIA, PARTE NO ESPECIFICADA;;;;;1;;1
C041 - TUMOR MALIGNO DE LA PARTE LATERAL DEL PISO DE LA BOCA;;;;;1;;1
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;;;;;1;;1
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;1;;1;;;;2
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;1;1;;;1;1;4
C069 - TUMOR MALIGNO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;;1;1
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;1;1;1;;1;1;5
C080 - TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR;;;1;;;;1
C089 - TUMOR MALIGNO DE GLANDULA SALIVAL MAYOR, NO ESPECIFICADA;;;;;1;;1
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;;;;;;;
C118 - LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE;;;;;;;
C119 - TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA;;;;;;;
C148 - LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE;;;2;;;;2
C150 - TUMOR MALIGNO DEL ESOFAGO, PORCION CERVICAL;;;;;;;
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;;;;;;;
C152 - TUMOR MALIGNO DEL ESOFAGO, PORCION ABDOMINAL;;;;;;1;1
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;;;1;;;;1
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;2;;2;;;4
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;;;;;1;;1
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;;;;;;;
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;;;1;;1;;2
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;;;;;;
C168 - LESION DE SITIOS CONTIGUOS DEL ESTOMAGO;;;;;;;
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;;3;1;4;1;3;12
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;1;;2;;1;;4
C183 - TUMOR MALIGNO DEL ANGULO HEPATICO;;;;1;;;1
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;;;;;;;
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;1;;1;;1;;3
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;1;1;;1;;1;4
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;1;;;1;;;2
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;;;1;1;1;2;5
C20X - TUMOR MALIGNO DEL RECTO;;1;2;2;;2;7
C210 - TUMOR MALIGNO DEL ANO, PARTE NO ESPECIFICADA;;;;;;;
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;1;;;1;;2
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;;;;;;;
C240 - TUMOR MALIGNO D E LAS VIAS BILIARES EXTRAHEPATICAS;;;1;;;1;2
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;;;;;;;
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;;;;;;1;1
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;;;;;;;
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;1;;2;;2;1;6
C253 - TUMOR MALIGNO DEL CONDUCTO PANCREATICO;;;;;;;
C257 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS;;;1;;;;1
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;;;;;1;;1
C259 - TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA;;;;;1;;1
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;;;;1;;;1
C268 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS DIGESTIVOS;;;;;;;
C269 - TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS;;;;;;;
C300 - TUMOR MALIGNO DE LA FOSA NASAL;;;;;;;
C320 - TUMOR MALIGNO DE LA GLOTIS;;;;;;;
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;;;;1;;;1
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;;;;;;;
C342 - TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON;;;;;;;
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;;;;;;;
C348 - LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON;;;;;;;
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;;1;;2;;;3
C388 - LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA;;;;;;;
C400 - TUMOR MALIGNO DEL OMOPLATO Y DE LOS HUESOS LARGOS DEL MIEMBRO SUPERIOR;;;;;;;
C401 - TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR;;;;;;;
C402 - TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR;1;;2;;1;;4
C403 - TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR;;;1;;;;1
C408 - LESION DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS;;;;;;;
C409 - TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACION;;;;;;;
C411 - TUMOR MALIGNO DEL HUESO DEL MAXILAR INFERIOR;;;;1;;;1
C412 - TUMOR MALIGNO DE LA COLUMNA VERTEBRAL;;1;;;1;;2
C414 - TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y COCCIX;;;;;;;
C418 - LESION DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTILAGO ARTICULAR;1;;;;;;1
C433 - MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA;1;;;;1;;2
C437 - MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;;;;;
C439 - MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO;;;;;;;
C440 - TUMOR MALIGNO DE LA PIEL DEL LABIO;;;;;;1;1
C441 - TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;;1;;1;;;2
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;1;;2;;1;4
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;8;5;5;8;6;9;41
C444 - TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO;;2;1;;;;3
C445 - TUMOR MALIGNO DE LA PIEL DEL TRONCO;;;1;1;2;1;5
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;;;
C447 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;;;;;
C449 - TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO;1;3;6;5;;;15
C478 - LESION DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO;;;1;;;;1
C481 - TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO;;;;;1;;1
C490 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO;;;;;;1;1
C491 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;;1;1
C492 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;1;;;1;;2
C495 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA PELVIS;;;;;;;
C499 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO;;;;;;;
C500 - TUMOR MALIGNO DEL PEZON Y AREOLA MAMARIA;;;;;;;
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;;;;;2;;2
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;;;;;;;
C503 - TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA;;;;;;;
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;3;;2;;3;;8
C506 - TUMOR MALIGNO DE LA PROLONGACION AXILAR DE LA MAMA;;;;;;;
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;5;;4;;6;;15
C519 - TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA;;;;;;;
C52X - TUMOR MALIGNO DE LA VAGINA;;;;;;;
C530 - TUMOR MALIGNO DEL ENDOCERVIX;;;1;;;;1
C531 - TUMOR MALIGNO DE EXOCERVIX;3;;3;;1;;7
C539 - TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;3;;1;;1;;5
C540 - TUMOR MALIGNO DEL ISTMO UTERINO;;;;;1;;1
C541 - TUMOR MALIGNO DEL ENDOMETRIO;1;;;;1;;2
C542 - TUMOR MALIGNO DEL MIOMETRIO;;;1;;;;1
C55X - TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA;;;;;;;
C56X - TUMOR MALIGNO DEL OVARIO;1;;;;1;;2
C602 - TUMOR MALIGNO DEL CUERPO DEL PENE;;;;;;;
C608 - LESION DE SITIOS CONTIGUOS DEL PENE;;4;;;;;4
C609 - TUMOR MALIGNO DEL PENE, PARTE NO ESPECIFICADA;;2;;;;1;3
C61X - TUMOR MALIGNO DE LA PROSTATA;;8;;14;;9;31
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;1;;;;;1
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;1;;3;;1;1;6
C65X - TUMOR MALIGNO DE LA PELVIS RENAL;;;;;;;
C672 - TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA;;;;;;1;1
C676 - TUMOR MALIGNO DEL ORIFICIO URETERAL;1;;;;;;1
C678 - LESION DE SITIOS CONTIGUOS DE LA VEJIGA;;;;;;;
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;;;1;1;;1;3
C689 - TUMOR MALIGNO DE ORGANO URINARIO NO ESPECIFICADO;;;;;;;
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;1;;;1;;2
C693 - TUMOR MALIGNO DE LA COROIDES;;;1;;;;1
C694 - TUMOR MALIGNO DEL CUERPO CILIAR;;;;;;;
C696 - TUMOR MALIGNO DE LA ORBITA;;;;;;;
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;1;2;2;4;2;2;13
C700 - TUMOR MALIGNO DE LAS MENINGES CEREBRALES;;;;;;;
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;;;;;;;
C716 - TUMOR MALIGNO DEL CEREBELO;;;;;;;
C720 - TUMOR MALIGNO DE LA MEDULA ESPINAL;;1;;;;;1
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;5;;8;;6;;19
C751 - TUMOR MALIGNO DE LA HIPOFISIS;;;;1;;;1
C759 - TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA;;;;;;;
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;;;1;;;;1
C761 - TUMOR MALIGNO DEL TORAX;;;1;;;;1
C762 - TUMOR MALIGNO DEL ABDOMEN;;;;;;1;1
C763 - TUMOR MALIGNO DE LA PELVIS;;;;;;;
C765 - TUMOR MALIGNO DEL MIEMBRO INFERIOR;;;;;;;
C767 - TUMOR MALIGNO DE OTROS SITIOS MAL DEFINIDOS;1;;;;;;1
C768 - LESION DE SITIOS CONTIGUOS MAL DEFINIDOS;;;;;;1;1
C770 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO;;;1;;;;1
C772 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS INTRAABDOMINALES;;;1;;;;1
C779 - TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO;;;;;;1;1
C780 - TUMOR MALIGNO SECUNDARIO DEL PULMON;;;;;;;
C785 - TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO;;;;1;;;1
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;;;;;
C790 - TUMOR MALIGNO SECUNDARIO DEL RIÑON Y DE LA PELVIS RENAL;;;1;;;;1
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;;;;;;;
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;;;;;1;;1
17665 - San José;7;14;13;12;7;4;57
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;;1;;;1
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;;1;;;;;1
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;;;;2;;;2
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;;;;;;;
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;1;;;;;;1
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;;;;;;;
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;1;;;;;1
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;;;;;;;
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;1;1;;1;;;3
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;;;;;;;
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;;;;;;;
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;1;;;;;;1
C20X - TUMOR MALIGNO DEL RECTO;;;;1;;;1
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;;1;;;;;1
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;;;;1;;;1
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;;;;;;;
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;;;;;;;
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;;2;;;;;2
C441 - TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;;;;1;;;1
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;1;1;2;1;;1;6
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;;;
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;;;;1;;;1
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;;;;;1;;1
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;;;;;1;;1
C503 - TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA;;;;;1;;1
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;;;;;1;;1
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;1;;2;1;3;;7
C541 - TUMOR MALIGNO DEL ENDOMETRIO;;;1;;;;1
C56X - TUMOR MALIGNO DEL OVARIO;;;1;;;;1
C602 - TUMOR MALIGNO DEL CUERPO DEL PENE;;1;;;;;1
C608 - LESION DE SITIOS CONTIGUOS DEL PENE;;;;;;;
C61X - TUMOR MALIGNO DE LA PROSTATA;;2;;2;;1;5
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;;;;;;
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;;;1;;;;1
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;;;;;;
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;1;4;3;1;1;2;12
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;1;;1;;;;2
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;;;1;;;;1
C774 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA REGION INGUINAL Y DEL MIEMBRO INFERIOR;;;;;;;
C779 - TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO;;;;;;;
C780 - TUMOR MALIGNO SECUNDARIO DEL PULMON;;;;;;;
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;1;;;;1
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;;;;;1;;1
17777 - Supía;96;66;128;90;114;74;568
C000 - TUMOR MALIGNO DEL LABIO SUPERIOR, CARA EXTERNA;;1;;;;;1
C001 - TUMOR MALIGNO DEL LABIO INFERIOR, CARA EXTERNA;;;;;1;;1
C002 - TUMOR MALIGNO DEL LABIO, CARA EXTERNA, SIN OTRA ESPECIFICACIÓN;;;;;;;
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;;1;;;1
C01X - TUMOR MALIGNO DE LA BASE DE LA LENGUA;;;;;1;1;2
C021 - TUMOR MALIGNO DEL BORDE DE LA LENGUA;;;;1;;;1
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;;1;3;;;;4
C029 - TUMOR MALIGNO DE LA LENGUA, PARTE NO ESPECIFICADA;;;;1;1;;2
C041 - TUMOR MALIGNO DE LA PARTE LATERAL DEL PISO DE LA BOCA;;;;1;;;1
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;;;1;;;;1
C049 - TUMOR MALIGNO DEL PISO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;1;;1
C050 - TUMOR MALIGNO DEL PALADAR DURO;;;;;;;
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;1;1;;;;;2
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;1;1;;;;1;3
C069 - TUMOR MALIGNO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;;;
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;;1;;1;;1;3
C080 - TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR;;;;;;;
C088 - LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES;1;;;;;;1
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;;;;;1;1;2
C099 - TUMOR MALIGNO DE LA AMIGDALA, PARTE NO ESPECIFICADA;;;;;;1;1
C102 - TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE;;;;1;;;1
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;;;1;;;;1
C109 - TUMOR MALIGNO DE LA OROFARINGE, PARTE NO ESPECIFICADA;;;;;;;
C110 - TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE;;;;;;1;1
C118 - LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE;;;;1;;1;2
C119 - TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA;;;;;;1;1
C148 - LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE;;1;;;;;1
C150 - TUMOR MALIGNO DEL ESOFAGO, PORCION CERVICAL;;;;;1;;1
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;;;;;1;;1
C152 - TUMOR MALIGNO DEL ESOFAGO, PORCION ABDOMINAL;;;;;;;
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;;1;;1;;1;3
C158 - LESION DE SITIOS CONTIGUOS DEL ESOFAGO;1;;1;;;;2
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;1;;;;1;2
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;;1;3;2;1;4;11
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;1;;1;;1;2;5
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;1;;;;1;2;4
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;1;1;;;1;3
C166 - TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;1;1;2;2;1;1;8
C168 - LESION DE SITIOS CONTIGUOS DEL ESTOMAGO;;1;1;1;;1;4
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;3;2;3;1;1;2;12
C170 - TUMOR MALIGNO DEL DUODENO;;;;1;;1;2
C172 - TUMOR MALIGNO DEL ILEON;;;;;;;
C179 - TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA;;;;;;;
C180 - TUMOR MALIGNO DEL CIEGO;;1;;;;;1
C181 - TUMOR MALIGNO DEL APENDICE;;;;;;;
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;3;2;3;;2;;10
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;;;;;1;;1
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;;;;;;1;1
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;3;1;4;1;4;2;15
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;;2;;;1;;3
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;4;1;3;1;2;1;12
C19X - TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;2;;1;;2;;5
C20X - TUMOR MALIGNO DEL RECTO;1;;3;2;2;2;10
C210 - TUMOR MALIGNO DEL ANO, PARTE NO ESPECIFICADA;;;1;1;1;;3
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;1;1;;1;1;4
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;;1;;2;;2;5
C240 - TUMOR MALIGNO D E LAS VIAS BILIARES EXTRAHEPATICAS;;;;1;;;1
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;;;;;;;
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;;1;1;;;;2
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;;;;1;1;1;3
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;1;1;1;1;;;4
C251 - TUMOR MALIGNO DEL CUERPO DEL PANCREAS;;;;;;1;1
C252 - TUMOR MALIGNO DE LA COLA DEL PANCREAS;1;;;;;;1
C257 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS;1;;1;1;;;3
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;1;;;;;;1
C259 - TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA;;;;;;1;1
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;;;;1;;;1
C268 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS DIGESTIVOS;;;;;;;
C300 - TUMOR MALIGNO DE LA FOSA NASAL;;;;1;;;1
C310 - TUMOR MALIGNO DEL SENO MAXILAR;;;;1;;;1
C318 - LESION DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES;;1;;2;;1;4
C320 - TUMOR MALIGNO DE LA GLOTIS;1;1;1;;;;3
C321 - TUMOR MALIGNO DE LA REGION SUPRAGLOTICA;1;;;;1;;2
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;5;3;2;2;;1;13
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;;1;1;;;;2
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;;1;;1;;;2
